well_name,sample_name,donor_ID,time,condition,group,new_sample_names,group_time,condition_time,condition_group,condition_group_time
s2-D4,655308 T18 C4,655308,18,NHB,control,C4_T18_655308,control_18,NHB_18,NHB_control,NHB_control_18
s2-D5,655308 T18 P1,655308,18,NHB,poly_ic,P1_T18_655308,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-D6,655308 T18 P2,655308,18,NHB,poly_ic,P2_T18_655308,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-D7,655308 T18 P3,655308,18,NHB,poly_ic,P3_T18_655308,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-D8,655308 T18 P4,655308,18,NHB,poly_ic,P4_T18_655308,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-D9,655308 T18 V1,655308,18,NHB,virus,V1_T18_655308,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-D10,655308 T18 V2,655308,18,NHB,virus,V2_T18_655308,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-D11,655308 T18 V3,655308,18,NHB,virus,V3_T18_655308,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-D12,655308 T18 V4,655308,18,NHB,virus,V4_T18_655308,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-E1,626776 T4 C1,626776,4,NHB,control,C1_T4_626776,control_4,NHB_4,NHB_control,NHB_control_4
s2-E2,626776 T4 C2,626776,4,NHB,control,C2_T4_626776,control_4,NHB_4,NHB_control,NHB_control_4
s2-E3,626776 T4 C3,626776,4,NHB,control,C3_T4_626776,control_4,NHB_4,NHB_control,NHB_control_4
s2-E4,626776 T4 C4,626776,4,NHB,control,C4_T4_626776,control_4,NHB_4,NHB_control,NHB_control_4
s2-E5,626776 T4 V1,626776,4,NHB,virus,V1_T4_626776,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-E6,626776 T4 V2,626776,4,NHB,virus,V2_T4_626776,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-E7,626776 T4 V3,626776,4,NHB,virus,V3_T4_626776,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-E8,626776 T4 V4,626776,4,NHB,virus,V4_T4_626776,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-F1,626776 T18 C1,626776,18,NHB,control,C1_T18_626776,control_18,NHB_18,NHB_control,NHB_control_18
s2-F2,626776 T18 C2,626776,18,NHB,control,C2_T18_626776,control_18,NHB_18,NHB_control,NHB_control_18
s2-F3,626776 T18 C3,626776,18,NHB,control,C3_T18_626776,control_18,NHB_18,NHB_control,NHB_control_18
s2-F4,626776 T18 C4,626776,18,NHB,control,C4_T18_626776,control_18,NHB_18,NHB_control,NHB_control_18
s2-F5,626776 T18 P1,626776,18,NHB,poly_ic,P1_T18_626776,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-F6,626776 T18 P2,626776,18,NHB,poly_ic,P2_T18_626776,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-F7,626776 T18 P3,626776,18,NHB,poly_ic,P3_T18_626776,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-F8,626776 T18 P4,626776,18,NHB,poly_ic,P4_T18_626776,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-F9,626776 T18 V1,626776,18,NHB,virus,V1_T18_626776,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-F10,626776 T18 V2,626776,18,NHB,virus,V2_T18_626776,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-F11,626776 T18 V3,626776,18,NHB,virus,V3_T18_626776,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-F12,626776 T18 V4,626776,18,NHB,virus,V4_T18_626776,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-G1,623950 T4 C1,623950,4,NHB,control,C1_T4_623950,control_4,NHB_4,NHB_control,NHB_control_4
s2-G2,623950 T4 C2,623950,4,NHB,control,C2_T4_623950,control_4,NHB_4,NHB_control,NHB_control_4
s2-G3,623950 T4 C3,623950,4,NHB,control,C3_T4_623950,control_4,NHB_4,NHB_control,NHB_control_4
s2-G4,623950 T4 C4,623950,4,NHB,control,C4_T4_623950,control_4,NHB_4,NHB_control,NHB_control_4
s2-G5,623950 T4 V1,623950,4,NHB,virus,V1_T4_623950,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-G6,623950 T4 V2,623950,4,NHB,virus,V2_T4_623950,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-G7,623950 T4 V3,623950,4,NHB,virus,V3_T4_623950,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-G8,623950 T4 V4,623950,4,NHB,virus,V4_T4_623950,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-H1,623950 T18 C1,623950,18,NHB,control,C1_T18_623950,control_18,NHB_18,NHB_control,NHB_control_18
s2-H2,623950 T18 C2,623950,18,NHB,control,C2_T18_623950,control_18,NHB_18,NHB_control,NHB_control_18
s2-H3,623950 T18 C3,623950,18,NHB,control,C3_T18_623950,control_18,NHB_18,NHB_control,NHB_control_18
s2-H4,623950 T18 C4,623950,18,NHB,control,C4_T18_623950,control_18,NHB_18,NHB_control,NHB_control_18
s2-H5,623950 T18 P1,623950,18,NHB,poly_ic,P1_T18_623950,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-H6,623950 T18 P2,623950,18,NHB,poly_ic,P2_T18_623950,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-H7,623950 T18 P3,623950,18,NHB,poly_ic,P3_T18_623950,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-H8,623950 T18 P4,623950,18,NHB,poly_ic,P4_T18_623950,poly_ic_18,NHB_18,NHB_poly_ic,NHB_poly_ic_18
s2-H9,623950 T18 V1,623950,18,NHB,virus,V1_T18_623950,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-H10,623950 T18 V2,623950,18,NHB,virus,V2_T18_623950,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-H11,623950 T18 V3,623950,18,NHB,virus,V3_T18_623950,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-H12,623950 T18 V4,623950,18,NHB,virus,V4_T18_623950,virus_18,NHB_18,NHB_virus,NHB_virus_18
s2-A12,672447 T4 C1,672447,4,NHB,control,C1_T4_672447,control_4,NHB_4,NHB_control,NHB_control_4
s2-C12,672447 T4 C2,672447,4,NHB,control,C2_T4_672447,control_4,NHB_4,NHB_control,NHB_control_4
s2-E12,672447 T4 C3,672447,4,NHB,control,C3_T4_672447,control_4,NHB_4,NHB_control,NHB_control_4
s2-G12,672447 T4 C4,672447,4,NHB,control,C4_T4_672447,control_4,NHB_4,NHB_control,NHB_control_4
