"","gene_id","gene_symbol","fold_change","fdr_pvalue","gene_annotation"
"38","5341","PLEK",1.12974589687517,0.0335209902840401,NA
"39","19","ABCA1",1.30356067136011,0.00457079593637726,"ATP binding cassette subfamily A member 1"
"40","10475","TRIM38",1.08114506529682,0.00178591437836784,"tripartite motif containing 38"
"41","4783","NFIL3",1.08663111098272,0.0121559860104038,"nuclear factor, interleukin 3 regulated"
"42","24138","IFIT5",2.14716091167716,0.00105605007169892,"interferon induced protein with tetratricopeptide repeats 5"
"43","644","BLVRA",1.17969070611951,0.0125780957095987,"biliverdin reductase A"
"44","2175","FANCA",1.01435855334142,0.00639983548596917,"FA complementation group A"
"45","6948","TCN2",1.51993982542467,0.00225298140615601,"transcobalamin 2"
"46","1318","SLC31A2",1.03316706370355,0.0125484896159107,"solute carrier family 31 member 2"
"47","2643","GCH1",1.31769875050296,0.00123678948331998,"GTP cyclohydrolase 1"
"48","7188","TRAF5",-1.10193153852269,0.00314712242994075,"TNF receptor associated factor 5"
"49","2537","IFI6",2.92725260933192,0.000622284693688947,"interferon alpha inducible protein 6"
"50","10964","IFI44L",4.17545776257937,0.000348714488084808,"interferon induced protein 44 like"
"51","3627","CXCL10",2.39091196816022,0.00472283298880653,"C-X-C motif chemokine ligand 10"
"52","933","CD22",-1.03422551551362,0.010469702412196,NA
"53","3669","ISG20",1.25869503506967,0.00012133357016243,"interferon stimulated exonuclease gene 20"
"54","3437","IFIT3",3.21139878602728,0.000180403646789127,"interferon induced protein with tetratricopeptide repeats 3"
"55","9737","GPRASP1",-1.07710480169838,0.0273379061109543,"G protein-coupled receptor associated sorting protein 1"
"56","6737","TRIM21",1.02845490174204,0.00152476038273551,"tripartite motif containing 21"
"57","1890","TYMP",1.42048656509142,0.0127112779854456,"thymidine phosphorylase"
"58","4671","NAIP",1.18319501639222,0.0322643875491344,"NLR family apoptosis inhibitory protein"
"59","10791","VAMP5",1.48104785209983,0.000289787187174347,"vesicle associated membrane protein 5"
"60","4939","OAS2",2.56923873237307,0.000196248331102368,"2'-5'-oligoadenylate synthetase 2"
"61","4600","MX2",1.50211084236848,0.00152476038273551,"MX dynamin like GTPase 2"
"62","22809","ATF5",1.0245699291233,0.00439188714465356,"activating transcription factor 5"
"63","9732","DOCK4",2.15964210900368,0.00137446954115065,"dedicator of cytokinesis 4"
"64","3553","IL1B",1.05068395515805,0.0126048390502817,"interleukin 1 beta"
"65","1230","CCR1",1.70252030772689,0.000622284693688947,NA
"66","6773","STAT2",1.31126538091492,0.0380749125910126,"signal transducer and activator of transcription 2"
"67","9997","SCO2",1.97734879966892,0.000946401481793201,"SCO cytochrome c oxidase assembly protein 2"
"68","5450","POU2AF1",-1.11671018516453,0.005572328806923,"POU class 2 homeobox associating factor 1"
"69","9636","ISG15",3.40755043232628,7.2148004662619e-05,"ISG15 ubiquitin like modifier"
"70","1380","CR2",-1.00937621462028,0.00449973390907418,NA
"71","27074","LAMP3",3.8614244703473,0.000180403646789127,"lysosomal associated membrane protein 3"
"72","8638","OASL",3.20530116849803,7.58603047149451e-05,"2'-5'-oligoadenylate synthetase like"
"73","952","CD38",1.21851308079652,0.000222134434140577,"CD38 molecule"
"74","5608","MAP2K6",1.08447887301706,0.00263917817905735,"mitogen-activated protein kinase kinase 6"
"75","3717","JAK2",1.20684416698892,0.00832577151728797,"Janus kinase 2"
"76","10863","ADAM28",-1.02307627286639,0.0179997607216405,"ADAM metallopeptidase domain 28"
"77","7130","TNFAIP6",2.76626607878025,0.000814550939850738,NA
"78","54739","XAF1",2.78234110397335,7.2148004662619e-05,"XIAP associated factor 1"
"79","3428","IFI16",1.19451632209512,0.00502389168974993,"interferon gamma inducible protein 16"
"80","4496","MT1H",1.60856423744093,0.000772266278365704,NA
"81","9834","FAM30A",-1.0029981607152,0.012443806399163,NA
"82","9447","AIM2",2.0052179910393,0.000330616915000231,NA
"83","634","CEACAM1",1.70561937708639,0.000941076171411994,"carcinoembryonic antigen related cell adhesion molecule 1"
"84","23178","PASK",-1.11308430832556,0.0131888112626488,"PAS domain containing serine/threonine kinase"
"85","9934","P2RY14",1.56104348206223,0.00315036166971031,NA
"86","23136","EPB41L3",1.43524388052096,0.00783972294475359,"erythrocyte membrane protein band 4.1 like 3"
"87","22797","TFEC",1.79608978840617,0.0090820364474289,NA
"88","11026","LILRA3",1.76028325469517,0.019959579018516,NA
"89","8807","IL18RAP",1.09197300642193,0.036212668720963,NA
"90","838","CASP5",1.9841625742928,0.000622284693688947,NA
"91","11262","SP140",1.03161648753661,0.00209688896377654,"SP140 nuclear body protein"
"92","23177","CEP68",-1.10394938773206,0.00603317625505199,"centrosomal protein 68"
"93","81030","ZBP1",2.1565321487466,0.000180403646789127,NA
"94","8365","HIST1H4H",1.35410833295374,0.000814550939850738,"histone cluster 1 H4 family member h"
"95","3665","IRF7",2.24659720104807,0.000134644454890778,"interferon regulatory factor 7"
"96","1267","CNP",1.07402535784282,0.00051920337430873,"2',3'-cyclic nucleotide 3' phosphodiesterase"
"97","873","CBR1",1.08215917459263,0.0178856307970913,"carbonyl reductase 1"
"98","306","ANXA3",1.27340868045075,0.0319074584706631,"annexin A3"
"99","3430","IFI35",2.00611416760787,0.000622284693688947,"interferon induced protein 35"
"100","1847","DUSP5",1.15435586627214,0.00088358171306409,"dual specificity phosphatase 5"
"101","11145","PLA2G16",1.11508242398211,0.0121462623751773,NA
"102","27348","TOR1B",1.64320275179134,0.00158701293150739,"torsin family 1 member B"
"103","1066","CES1",1.44583821478698,0.0385219910274888,"carboxylesterase 1"
"104","5371","PML",1.55080870705818,0.000732648179657343,"promyelocytic leukemia"
"105","54453","RIN2",1.83661557013422,0.000897376932716937,"Ras and Rab interactor 2"
"106","3431","SP110",1.04526775797574,0.0117586853260437,"SP110 nuclear body protein"
"107","719","C3AR1",1.67739217155968,0.0041205045900822,NA
"108","8651","SOCS1",1.88324279762424,0.000222134434140577,"suppressor of cytokine signaling 1"
"109","3620","IDO1",2.08137285828586,0.00254805668299994,"indoleamine 2,3-dioxygenase 1"
"110","11006","LILRB4",1.44057208912213,0.00941793999909147,NA
"111","8676","STX11",1.35109085899966,0.0158633212000599,"syntaxin 11"
"112","5414","SEPT4",2.94107354828036,0.00012133357016243,NA
"113","85363","TRIM5",1.12441198327379,0.00751121579133334,"tripartite motif containing 5"
"114","773","CACNA1A",1.27553671727119,0.00329530917848962,"calcium voltage-gated channel subunit alpha1 A"
"115","2213","FCGR2B",1.13853446575672,0.0129942681582472,NA
"116","9034","CCRL2",1.144638749693,0.0038564876963779,"C-C motif chemokine receptor like 2"
"117","645745","MT1HL1",1.55844369327562,0.000692080314210788,NA
"118","4502","MT2A",1.81313990560086,0.000420227410750325,"metallothionein 2A"
"119","23070","CMTR1",1.14282950867572,0.00119501388494321,"cap methyltransferase 1"
"120","6237","RRAS",1.01411724521823,0.000847361002794505,"RAS related"
"121","3557","IL1RN",1.76633524971136,0.0130157087210765,"interleukin 1 receptor antagonist"
"122","10184","LHFPL2",1.1287500538356,0.00147604295882321,"LHFPL tetraspan subfamily member 2"
"123","23034","SAMD4A",2.29334607181232,0.000622284693688947,"sterile alpha motif domain containing 4A"
"124","56829","ZC3HAV1",1.17383643922544,0.0127112779854456,"zinc finger CCCH-type containing, antiviral 1"
"125","1028","CDKN1C",1.52318401577194,0.0132883565267637,"cyclin dependent kinase inhibitor 1C"
"126","10346","TRIM22",1.27165948264645,0.000888715435778497,"tripartite motif containing 22"
"127","5610","EIF2AK2",1.69555563098895,0.000610272969696223,"eukaryotic translation initiation factor 2 alpha kinase 2"
"128","23424","TDRD7",1.52770771275691,0.000196248331102368,"tudor domain containing 7"
"129","10924","SMPDL3A",1.15745392586474,0.0178592500376698,"sphingomyelin phosphodiesterase acid like 3A"
"130","6398","SECTM1",1.01672651532549,0.0113159071044855,"secreted and transmembrane 1"
"131","91543","RSAD2",4.64427864303509,0.000180403646789127,"radical S-adenosyl methionine domain containing 2"
"132","6355","CCL8",2.50558818574078,0.015674206077929,NA
"133","10561","IFI44",3.72125875106028,0.000337110698695334,"interferon induced protein 44"
"134","57125","PLXDC1",-1.15346940232122,0.012846440201577,"plexin domain containing 1"
"135","10207","PATJ",-1.16418313458393,0.0234752553304723,NA
"136","2210","FCGR1B",2.17709329898736,0.000292433084874991,NA
"137","221472","FGD2",1.01992861777841,0.00667955752401254,"FYVE, RhoGEF and PH domain containing 2"
"138","26010","SPATS2L",3.19218057362017,1.5870166954023e-05,"spermatogenesis associated serine rich 2 like"
"139","353514","LILRA5",2.11390977441491,0.0113159071044855,NA
"140","64135","IFIH1",2.15088843577951,0.000192342947382161,"interferon induced with helicase C domain 1"
"141","6347","CCL2",3.36068870516886,9.36622514159495e-05,NA
"142","114884","OSBPL10",-1.51658271913088,0.00314712242994075,"oxysterol binding protein like 10"
"143","3433","IFIT2",2.8197271349258,0.00123678948331998,"interferon induced protein with tetratricopeptide repeats 2"
"144","51386","EIF3L",-1.12778541018993,0.000687192177956704,"eukaryotic translation initiation factor 3 subunit L"
"145","79932","KIAA0319L",1.4495591206598,0.00314712242994075,"KIAA0319 like"
"146","51056","LAP3",1.90535506354786,0.00123820286240126,"leucine aminopeptidase 3"
"147","51510","CHMP5",1.03139687498946,0.0322643875491344,"charged multivesicular body protein 5"
"148","712","C1QA",1.79348459804651,0.00147604295882321,NA
"149","4940","OAS3",3.17606331799112,0.000196248331102368,"2'-5'-oligoadenylate synthetase 3"
"150","26519","TIMM10",1.64933259768261,0.00169987478354806,"translocase of inner mitochondrial membrane 10"
"151","64761","PARP12",1.66768949086971,0.000196248331102368,"poly(ADP-ribose) polymerase family member 12"
"152","9935","MAFB",1.25488668628459,0.0111161596339686,"MAF bZIP transcription factor B"
"153","23586","DDX58",2.22044785597645,0.000456184851211518,"DExD/H-box helicase 58"
"154","55601","DDX60",1.97274324664495,0.00123678948331998,"DExD/H-box helicase 60"
"155","55281","TMEM140",1.5691457302801,0.0035242031748068,"transmembrane protein 140"
"156","51316","PLAC8",1.06703456305051,0.000158868384048546,"placenta associated 8"
"157","54877","ZCCHC2",1.54497464919901,0.000847361002794505,"zinc finger CCHC-type containing 2"
"158","11274","USP18",3.04477725235925,0.000180403646789127,"ubiquitin specific peptidase 18"
"159","55008","HERC6",2.03777165448787,5.53758499493691e-05,"HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"160","79132","DHX58",1.66784366210988,0.000622284693688947,"DExH-box helicase 58"
"161","10855","HPSE",1.28500282016465,0.0117586853260437,"heparanase"
"162","6614","SIGLEC1",4.096830682373,0.000336939407843069,NA
"163","64919","BCL11B",-1.12041569898655,0.00650312005138832,"BAF chromatin remodeling complex subunit BCL11B"
"164","51338","MS4A4A",2.57721506618185,0.000814550939850738,NA
"165","55647","RAB20",1.01852357074036,0.00147604295882321,"RAB20, member RAS oncogene family"
"166","55024","BANK1",-1.16530802477403,0.0143186150668309,"B cell scaffold protein with ankyrin repeats 1"
"167","64108","RTP4",2.67831831940114,1.5870166954023e-05,"receptor transporter protein 4"
"168","54809","SAMD9",1.53090208648936,0.0092403401415656,"sterile alpha motif domain containing 9"
"169","80830","APOL6",1.74848619075433,0.000125495344592585,"apolipoprotein L6"
"170","10170","DHRS9",1.11854111071321,0.00629234809290204,"dehydrogenase/reductase 9"
"171","56935","SMCO4",1.11351397335627,0.00112703702634814,"single-pass membrane protein with coiled-coil domains 4"
"172","51191","HERC5",3.09539604292949,0.000345422514393689,"HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"173","55026","TMEM255A",1.66169670345159,0.016237531907457,NA
"174","51284","TLR7",1.22423568079735,0.0119489065592578,NA
"175","57097","PARP11",1.29722922613483,0.000240385452404401,"poly(ADP-ribose) polymerase family member 11"
"176","81622","UNC93B1",1.10928884462357,0.00143570068598116,"unc-93 homolog B1, TLR signaling regulator"
"177","60468","BACH2",-1.29583935252473,0.00816706664236589,"BTB domain and CNC homolog 2"
"178","2867","FFAR2",1.55067560926893,0.005572328806923,NA
"179","9334","B4GALT5",1.05432352001033,0.00307425711211331,"beta-1,4-galactosyltransferase 5"
"180","23597","ACOT9",1.06970673175993,0.000772266278365704,"acyl-CoA thioesterase 9"
"181","51513","ETV7",2.19160619747617,0.00106691156904393,"ETS variant 7"
"182","203197","TMEM268",1.36938887656357,0.000240385452404401,NA
"183","11000","SLC27A3",1.02455986819222,0.0236998141772723,"solute carrier family 27 member 3"
